# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
9,9,25,4.051099441711862e-08,4.13987179965816e-20,73143
9,9,26,3.911826826396644e-08,4.080381859975975e-20,72220
9,9,27,2.586851458161958e-08,2.97743723137974e-20,49056
9,9,28,5.470374311059457e-09,5.379580525006193e-21,42959
9,9,29,1.613899806586346e-09,1.627771798245393e-21,32118
9,9,30,5.406227595930336e-10,7.737124901397539e-22,18022
9,9,31,2.398412028358379e-10,3.601358414488525e-22,429
9,9,32,2.244853330378134e-10,3.504096793090378e-22,386
9,9,33,2.358836085403476e-10,1.374494143427106e-21,317
9,9,34,1.866632556074799e-10,2.411470940349346e-22,293
9,9,35,1.454559342949772e-10,2.0241170496859e-22,12140
9,9,36,2.693779066550025e-11,6.46713880356788e-25,5502
9,9,37,5.436049534627313e-12,2.201939897193051e-25,872
9,9,38,2.397384198718105e-12,1.490107844508653e-24,5
9,9,39,2.854911247477246e-12,1.258034792785473e-25,311
9,10,0,4.162264787630958e-12,3.79294702570057e-25,324
9,10,1,8.397694715583721e-12,6.684895275330106e-24,19
9,10,2,9.612220842307075e-12,1.98563151387118e-24,673
9,10,3,2.73394911402084e-11,2.919862035783129e-24,2201
9,10,4,8.470788011539408e-11,8.020368255580358e-24,6708
9,10,5,4.979935465681308e-10,3.104741937755259e-22,10074
9,10,6,7.686207385206177e-10,8.296762988889592e-22,1496
9,10,7,8.416084079211369e-10,9.311976698611912e-22,1607
9,10,8,9.415962430984549e-10,1.023130955981652e-21,1785
9,10,9,1.07101510084239e-09,1.081180256171558e-21,1977
9,10,10,1.106700388522424e-09,9.47347069364714e-22,2138
9,10,11,1.249422389778275e-09,1.132352074468466e-21,2360
9,10,12,1.469229047907735e-09,1.445867050668327e-21,2739
9,10,13,1.940911950296657e-09,1.910069783114831e-21,3608
9,10,14,2.76529651330855e-09,2.857290032988607e-21,4927
9,10,15,3.802509021641291e-09,3.458683871747184e-21,6621
9,10,16,4.942413862762636e-09,4.300918968018865e-21,8636
9,10,17,6.407543682756308e-09,5.372275500867979e-21,11093
9,10,18,8.11706202770892e-09,6.901334597577562e-21,14295
9,10,19,9.490919982327228e-09,9.737073877852974e-21,17788
9,10,20,1.156354686387771e-08,1.043955477488283e-20,21375
9,10,21,1.485149716010998e-08,1.494511919096988e-20,26706
9,10,22,1.583260938448246e-08,1.57498668387295e-20,28611
9,10,23,1.593963991706372e-08,1.604920855721767e-20,29244
9,10,24,1.560957132329348e-08,1.584853613811602e-20,29194
9,10,25,1.466680581459227e-08,1.578879090773523e-20,27461
9,10,26,1.204015025202075e-08,1.406981264398577e-20,22225
9,10,27,7.291532110446412e-09,8.093605681244503e-21,12707
9,10,28,2.324089519570937e-09,3.146606750375889e-21,3427
9,10,29,7.483700250800447e-10,8.718804314184701e-22,1190
9,10,30,4.489884862155275e-10,5.261242891069087e-22,762
9,10,31,3.628815281160577e-10,6.973305664494016e-22,603
9,10,32,3.311183437094497e-10,8.497435714324812e-22,509
9,10,33,2.294517785748579e-10,4.210947203074829e-22,413
9,10,34,2.451823521283376e-10,4.706435699051817e-22,376
9,10,35,1.83093054193707e-10,2.200349612249193e-22,18188
9,10,36,3.381421025079636e-11,7.225932679068852e-25,7608
9,10,37,6.814277865844015e-12,6.036643274284321e-25,1053
9,10,38,1.107534220863121e-12,3.295803184241588e-25,5
9,10,39,2.446255213124301e-12,1.014602401231568e-25,302
9,11,0,4.28632989876648e-12,5.957836931981919e-25,326
9,11,1,8.973531696381646e-12,8.743068603340457e-24,17
9,11,2,1.3767153212309e-11,1.997259092522784e-24,722
9,11,3,4.204005598256618e-11,6.917986969046078e-24,2236
9,11,4,1.350099489220059e-10,3.344263510389041e-23,6380
9,11,5,6.077967198858302e-10,3.804708005803205e-22,9901
9,11,6,9.962124911060726e-10,1.162522808581071e-21,1854
9,11,7,1.124757776489518e-09,1.261926548149857e-21,2046
9,11,8,1.257894699425995e-09,1.178341161873735e-21,2387
9,11,9,1.658400315592217e-09,1.895453615980525e-21,2977
9,11,10,2.103806857233126e-09,2.096916545076757e-21,3726
9,11,11,2.583587275706368e-09,2.421517617415394e-21,4454
9,11,12,3.049181831242159e-09,2.625933234773008e-21,5352
9,11,13,3.618937220659171e-09,3.289851987531857e-21,6359
9,11,14,4.069275288059027e-09,3.748956898370024e-21,7298
9,11,15,4.344893575281704e-09,3.678080945218968e-21,8099
9,11,16,4.694913567741234e-09,4.028058791099509e-21,8730
9,11,17,4.964397929957449e-09,4.354939204541099e-21,9547
9,11,18,5.365055050248508e-09,4.545860880383914e-21,10546
9,11,19,6.011419065168682e-09,5.237679567705376e-21,11860
9,11,20,7.003329283990696e-09,6.47738341927855e-21,13296
9,11,21,7.713461232925296e-09,7.647338500587537e-21,14611
9,11,22,8.160364129931951e-09,8.089876572534699e-21,15278
9,11,23,7.928749095508507e-09,7.802320596541063e-21,15173
9,11,24,7.604672958612431e-09,7.906950616257361e-21,14210
9,11,25,6.743253813750434e-09,8.081073278716447e-21,12276
9,11,26,5.147295898379355e-09,9.788949596907403e-21,9155
9,11,27,3.271495729536538e-09,3.57255441491575e-21,5484
9,11,28,1.479176891582023e-09,1.910699122201106e-21,2258
9,11,29,7.510385293395871e-10,1.131455242328222e-21,1123
9,11,30,4.453470704172728e-10,6.855469345351336e-22,737
9,11,31,3.434385476123614e-10,4.851652346382851e-22,580
9,11,32,3.155465505133561e-10,6.521822998567009e-22,503
9,11,33,2.747692886302898e-10,6.111677453807962e-22,404
9,11,34,1.947813404347745e-10,3.896280690633803e-22,337
9,11,35,1.730746722038832e-10,1.016123836383804e-22,21747
9,11,36,4.201683774221577e-11,1.028093897293008e-24,9249
9,11,37,1.087452582676036e-11,3.618534534817284e-24,1218
9,11,38,6.035378658045801e-12,6.29912979584707e-24,11
9,11,39,2.752538863088573e-12,1.40482500930552e-25,289
9,12,0,6.865524206099558e-12,1.068680055916626e-24,377
9,12,1,7.257936361226942e-12,6.808772929428422e-24,14
9,12,2,1.764727965739738e-11,3.058582888130258e-24,862
9,12,3,5.466229903448717e-11,1.370791816655309e-23,2293
9,12,4,1.835474958694923e-10,6.741478756300589e-23,6445
9,12,5,9.852672979160587e-10,6.403709860440629e-22,10822
9,12,6,1.640658869613827e-09,1.676882974230111e-21,2918
9,12,7,1.911390285071547e-09,1.780066425803404e-21,3352
9,12,8,2.149472866456674e-09,2.037715134377455e-21,3817
9,12,9,2.389899997855576e-09,2.270408607446776e-21,4253
9,12,10,2.491319030900518e-09,2.276826092664861e-21,4646
9,12,11,2.619643691267989e-09,2.155656470948004e-21,4885
9,12,12,2.729870664785275e-09,2.405180272049886e-21,5171
9,12,13,2.837539875045546e-09,2.360352775691617e-21,5386
9,12,14,2.954827879600586e-09,2.757816588550289e-21,5714
9,12,15,3.151102355077437e-09,2.769475446646201e-21,6217
9,12,16,3.286385869762206e-09,2.762296256763739e-21,6469
9,12,17,3.468092456500212e-09,2.908046111746092e-21,6918
9,12,18,3.747677289211381e-09,3.427967844511129e-21,7392
9,12,19,4.000236406619122e-09,3.569990902800453e-21,8005
9,12,20,4.351377912647848e-09,3.951438134794191e-21,8561
9,12,21,4.510690937051723e-09,4.63411983140387e-21,8748
9,12,22,4.665803213603911e-09,4.788305716762757e-21,8894
9,12,23,4.531495022505254e-09,4.700621583984328e-21,8534
9,12,24,4.072285013572421e-09,4.401110218994774e-21,7618
9,12,25,3.588783424227907e-09,3.877577897343343e-21,6404
9,12,26,2.821599101184137e-09,3.186646694773951e-21,4796
9,12,27,1.887497195031705e-09,2.234966045410968e-21,3039
9,12,28,1.017942079583532e-09,1.493350704835698e-21,1587
9,12,29,5.96202472251127e-10,9.855244977810443e-22,927
9,12,30,3.963331234115866e-10,7.180335164564063e-22,638
9,12,31,2.916741722972259e-10,4.964377289653463e-22,513
9,12,32,2.551779023132577e-10,3.762322272703175e-22,452
9,12,33,2.043738391826582e-10,1.994166913595738e-22,417
9,12,34,2.084324573822784e-10,4.920099536130477e-22,360
9,12,35,1.677045789682224e-10,4.115188277151665e-22,18175
9,12,36,3.291257508204855e-11,7.227557221785291e-25,7601
9,12,37,6.695151528028376e-12,4.105400924271866e-25,1054
9,12,38,6.968552829045745e-12,6.470243610913345e-24,11
9,12,39,2.401842460179368e-12,9.719419741416545e-26,275
9,13,0,9.498616362308264e-12,2.224872260059548e-24,350
9,13,1,1.250400531550904e-11,8.643349573129974e-24,25
9,13,2,2.571614030260674e-11,7.955732698448334e-24,772
9,13,3,6.488081143307002e-11,1.866228683227202e-23,2054
9,13,4,1.813851164668042e-10,8.241491467949765e-23,5939
9,13,5,1.181473581858703e-09,7.81743087942214e-22,11051
9,13,6,1.757130764374767e-09,1.728920112792394e-21,3228
9,13,7,1.779808616798531e-09,1.422582250011515e-21,3384
9,13,8,1.883698264132918e-09,1.670908067545559e-21,3556
9,13,9,2.022496567776338e-09,1.928905721464115e-21,3745
9,13,10,2.041226435716165e-09,1.668086515647831e-21,3892
9,13,11,2.04743379928563e-09,1.929442990389495e-21,4016
9,13,12,2.150675444417046e-09,1.873002771575512e-21,4202
9,13,13,2.210807247319625e-09,1.934442517531797e-21,4345
9,13,14,2.303058360937234e-09,2.181592419217961e-21,4575
9,13,15,2.34802395555616e-09,1.889581823837675e-21,4795
9,13,16,2.522319064228136e-09,2.437524328454616e-21,5039
